"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2499","User login with wrong email or password","LMS system","Tue Dec 30 09:55:19 UTC 2025","passed","Tue Dec 30 09:55:22 UTC 2025","Authorization","Authentication","",""
"","4084","Create course","LMS system","Tue Dec 30 09:55:54 UTC 2025","passed","Tue Dec 30 09:55:58 UTC 2025","Courses","Courses","",""
"","1","test_login","tests.pytest","Tue Dec 30 09:56:17 UTC 2025","passed","Tue Dec 30 09:56:17 UTC 2025","TestUserAuthentication","test_markers","",""
"","0","test_logout","tests.pytest","Tue Dec 30 09:56:15 UTC 2025","passed","Tue Dec 30 09:56:15 UTC 2025","TestUserAuthentication","test_markers","",""
"","2484","Navigation from login page to registration page","LMS system","Tue Dec 30 09:55:34 UTC 2025","passed","Tue Dec 30 09:55:36 UTC 2025","Authorization","Authentication","",""
"","2061","User login with wrong email or password","LMS system","Tue Dec 30 09:55:23 UTC 2025","passed","Tue Dec 30 09:55:25 UTC 2025","Authorization","Authentication","",""
"","2061","Check displaying of dashboard page","LMS system","Tue Dec 30 09:56:10 UTC 2025","passed","Tue Dec 30 09:56:13 UTC 2025","Dashboard","Dashboard","",""
"","2214","Check displaying of dashboard page","LMS system","Tue Dec 30 09:56:12 UTC 2025","passed","Tue Dec 30 09:56:15 UTC 2025","Dashboard","Dashboard","",""
"","2639","Create course","LMS system","Tue Dec 30 09:55:51 UTC 2025","passed","Tue Dec 30 09:55:53 UTC 2025","Courses","Courses","",""
"","3779","Edit course","LMS system","Tue Dec 30 09:56:06 UTC 2025","passed","Tue Dec 30 09:56:09 UTC 2025","Courses","Courses","",""
"","0","test_forgot_password_link","tests.pytest","Tue Dec 30 09:56:15 UTC 2025","passed","Tue Dec 30 09:56:15 UTC 2025","TestUserInterface","test_markers","",""
"","3756","Create course","LMS system","Tue Dec 30 09:56:00 UTC 2025","passed","Tue Dec 30 09:56:04 UTC 2025","Courses","Courses","",""
"","0","test_regression_case","tests.pytest","Tue Dec 30 09:56:15 UTC 2025","passed","Tue Dec 30 09:56:15 UTC 2025","","test_markers","",""
"","6778","User login with correct email and password","LMS system","Tue Dec 30 09:55:31 UTC 2025","passed","Tue Dec 30 09:55:38 UTC 2025","Authorization","Authentication","",""
"","1950","Check displaying of empty courses list","LMS system","Tue Dec 30 09:55:57 UTC 2025","passed","Tue Dec 30 09:55:59 UTC 2025","Courses","Courses","",""
"","1","test_password_reset","tests.pytest","Tue Dec 30 09:56:15 UTC 2025","passed","Tue Dec 30 09:56:15 UTC 2025","TestUserAuthentication","test_markers","",""
"","3809","Edit course","LMS system","Tue Dec 30 09:56:00 UTC 2025","passed","Tue Dec 30 09:56:04 UTC 2025","Courses","Courses","",""
"","2008","Navigation from login page to registration page","LMS system","Tue Dec 30 09:55:45 UTC 2025","passed","Tue Dec 30 09:55:47 UTC 2025","Authorization","Authentication","",""
"","4690","User login with correct email and password","LMS system","Tue Dec 30 09:55:39 UTC 2025","passed","Tue Dec 30 09:55:44 UTC 2025","Authorization","Authentication","",""
"","2449","User login with wrong email or password","LMS system","Tue Dec 30 09:55:29 UTC 2025","passed","Tue Dec 30 09:55:32 UTC 2025","Authorization","Authentication","",""
"","2984","User login with wrong email or password","LMS system","Tue Dec 30 09:55:21 UTC 2025","passed","Tue Dec 30 09:55:24 UTC 2025","Authorization","Authentication","",""
"","3666","Registration with correct email, username and password","LMS system","Tue Dec 30 09:55:41 UTC 2025","passed","Tue Dec 30 09:55:44 UTC 2025","Registration","Authentication","",""
"","2405","Registration with correct email, username and password","LMS system","Tue Dec 30 09:55:46 UTC 2025","passed","Tue Dec 30 09:55:48 UTC 2025","Registration","Authentication","",""
"","1881","User login with wrong email or password","LMS system","Tue Dec 30 09:55:25 UTC 2025","passed","Tue Dec 30 09:55:27 UTC 2025","Authorization","Authentication","",""
"","1567","Check displaying of empty courses list","LMS system","Tue Dec 30 09:55:54 UTC 2025","passed","Tue Dec 30 09:55:55 UTC 2025","Courses","Courses","",""
"","1305","User login with wrong email or password","LMS system","Tue Dec 30 09:55:16 UTC 2025","passed","Tue Dec 30 09:55:17 UTC 2025","Authorization","Authentication","",""
"","1899","Check displaying of dashboard page","LMS system","Tue Dec 30 09:56:15 UTC 2025","passed","Tue Dec 30 09:56:16 UTC 2025","Dashboard","Dashboard","",""
"","1612","Check displaying of empty courses list","LMS system","Tue Dec 30 09:55:51 UTC 2025","passed","Tue Dec 30 09:55:53 UTC 2025","Courses","Courses","",""
"","3852","User login with correct email and password","LMS system","Tue Dec 30 09:55:26 UTC 2025","passed","Tue Dec 30 09:55:30 UTC 2025","Authorization","Authentication","",""
"","1534","User login with wrong email or password","LMS system","Tue Dec 30 09:55:17 UTC 2025","passed","Tue Dec 30 09:55:19 UTC 2025","Authorization","Authentication","",""
"","1722","User login with wrong email or password","LMS system","Tue Dec 30 09:55:14 UTC 2025","passed","Tue Dec 30 09:55:16 UTC 2025","Authorization","Authentication","",""
"","6316","Edit course","LMS system","Tue Dec 30 09:56:05 UTC 2025","passed","Tue Dec 30 09:56:11 UTC 2025","Courses","Courses","",""
"","2588","User login with wrong email or password","LMS system","Tue Dec 30 09:55:18 UTC 2025","passed","Tue Dec 30 09:55:20 UTC 2025","Authorization","Authentication","",""
"","0","test_critical_login","tests.pytest","Tue Dec 30 09:56:15 UTC 2025","passed","Tue Dec 30 09:56:15 UTC 2025","","test_markers","",""
"","1643","Navigation from login page to registration page","LMS system","Tue Dec 30 09:55:48 UTC 2025","passed","Tue Dec 30 09:55:49 UTC 2025","Authorization","Authentication","",""
"","2262","Registration with correct email, username and password","LMS system","Tue Dec 30 09:55:37 UTC 2025","passed","Tue Dec 30 09:55:40 UTC 2025","Registration","Authentication","",""
